value,label
ad,associate degree
ba,bachelor-opleiding
ma,master-opleiding
pi,postinitiele master
xx,opleiding telt niet mee
on,ongedeelde opleiding
pm,postmaster-opleiding (dit betreft de universitaire lerarenopleidingen)
