value,label
O,oude stijl (toegestaan t/m studiejaar 1992-1993)
P,propedeuse
1,1e fase (WO); hoofdfase (HBO) (toegestaan t/m studiejaar 92-93)
2,2e fase (toegestaan t/m studiejaar 1996-1997)
I,initiele opleiding (toegestaan vanaf studiejaar 1993-1994)
V,vervolgopleiding (toegestaan vanaf studiejaar 1993-1994)
K,kandidaatsfase
D,propedeuse bachelor of propedeuse associate degree
B,bachelor
M,master
A,associate degree
T,tussentijds doctoraal
Q,post-initiele master
S,schakelprogramma
