value,label
S,student (initieel en vervolgonderwijs)
A,auditor (initieel onderwijs)(toegestaan t/m inschrijvingsjaar 1995-1996)
E,extraneus (initieel onderwijs)
T,toegelaten student (coop- of duaal onderwijs)
