value,label
11,Nederlands
21,Westers Amerika
22,Westers Australie/Nieuw-Zeeland
23,Westers Azie
24,Westers Europa
25,Westers Oceanie
31,Niet-westers Afrika
32,Niet-westers Amerika
33,Niet-westers Antillen
34,Niet-westers Azie
35,Niet-westers Marokko
36,Niet-westers Suriname
37,Niet-westers Turkije
38,Niet-westers China
39,Niet-westers Aruba
99,Onbekend
