value,label
1,ingeschrevene is eerstejaars act. inst - type ho binnen soort ho voor de betreffende
2,ingeschrevene is hogerejaars act. inst - type ho binnen soort ho voor de betreffende
3,ingeschrevene is eerstejaars act. inst - type ho binnen soort ho voor de betreffende
4,ingeschrevene is hogerejaars act. inst - type ho binnen soort ho voor de betreffende
5,inschrijving heeft soort inschrijving act. inst - type ho binnen soort ho van 3; 4 of 5 (of 8; 9; C; D; E)
