value,label
11,geboren in Nederland en beide ouders geboren in Nederland
12,geboren in Nederland en een ouder geboren in Nederland; een in het buitenland
13,geboren in Nederland en beide ouders geboren in het buitenland
21,geboren in het buitenland en beide ouders geboren in Nederland
22,geboren in het buitenland en een ouder geboren in Nederland; een in het buitenland
23,geboren in het buitenland en beide ouders geboren in het buitenland
99,onbekend Het CBS dikt de waarden als volgt in:
