value,label
NA,geen einddiplomarecord
01,Eerste einddiploma in het hoger onderwijs
02,Niet eerste einddiploma in het hoger onderwijs Einddiploma HBO: associate degree; bachelor; initieel; master; vervolg en postinitiele master. Einddiploma WO:  bachelor; initieel; master; beroeps; vervolg en postinitiele master.
