value,label
1,ingeschrevene is eerstejaars soort hoger onderwijs voor de betreffende
2,ingeschrevene is hogerejaars soort hoger onderwijs voor de betreffende
3,ingeschrevene is eerstejaars soort hoger onderwijs voor de betreffende
4,ingeschrevene is hogerejaars soort hoger onderwijs voor de betreffende
5,inschrijving heeft soort inschrijving continu soort hoger onderwijs van 3; 4 of 5 (of 8; 9; C; D; E)
