value,label
01,Nederland
02,Europa (exclusief Nederland)
03,Turkije
04,Marokko
05,Suriname
06,Nederlands-Caribisch gebied
07,Indonesie
08,Overig Afrika
09,Overig Azie
10,Overig Amerika en Oceanie
99,Onbekend
